title,abstract,year,pmid,source,study_design,base_score,sample_size,evidence_score
WBP2 Attenuates Metformin Response in HER2-Positive Breast Cancer Cells by Repressing AMPK Activation and Inducing a Lower AMP:ATP Ratio State Through Enhanced ATP Production.,"Metformin is an antidiabetic drug that has been tested widely as an anti-cancer agent. However, data from clinical trials have been mixed. Evidence for metformin's efficacy in HER2+ breast cancer exists. Hence, we evaluated whether WBP2, a HER2-coamplified gene, can regulate the response of HER2+ breast cancer to metformin. Identification of biomarkers for predicting metformin response has implications in repurposing metformin for precision oncology. The effect of WBP2 on breast cancer response to metformin was studied using in vitro and mouse models. The mechanism of WBP2 on metformin-induced AMPK activation was elucidated, and its co-expression with p-AMPK was examined in clinical specimens using IHC. RNA-seq analyses were performed to elucidate WBP2's mechanism in energy metabolism. WBP2 inhibited the metformin response of HER2+ breast cancer in vitro and in vivo. These effects were concomitant with WBP2-mediated repression of metformin-induced AMPK activation and mTOR inhibition in HER2+ breast cancer cells, a lower AMP:ATP ratio state, and enhanced glycolytic capacity and mitochondria respiration. Analysis of HER2-positive breast cancer samples supports the negative correlation between WBP2 expression and activated AMPK observed in vitro. RNA-seq analysis revealed the potential mechanism of WBP2 in regulating ATP production processes and preferential effect of WBP2 on metformin response in HER2+ breast cancer. This study reported a novel role of WBP2 in cancer metabolism and energetics that contributes new insights into the molecular etiology of cancer. WBP2 may be a biomarker for patient stratification, paving the way towards repurposing metformin for precision oncology.",2026.0,41744824.0,PMC,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,-1,7.5
Amino acid metabolism in breast cancer: pathogenic drivers and therapeutic opportunities.,"Amino acid metabolism plays a critical role in the progression and development of breast cancer. Cancer cells, including those in breast cancer, reprogram amino acid metabolism to meet the demands of rapid proliferation, survival, and immune evasion. This includes alterations in the uptake and utilization of amino acids, such as glutamine, serine, glycine, and arginine, which provide essential building blocks for biosynthesis, energy production, and redox homeostasis. Notably, the metabolic phenotypes of breast cancer cells vary across molecular subtypes and disease stages, emphasizing the need for patient stratification and personalized therapeutic strategies. Advances in multi-level diagnostics, including phenotyping and predictive tools, such as AI-based analysis and body fluid profiling, have highlighted the potential for tailoring treatments to individual metabolic profiles. Enzymes, such as glutaminase and serine hydroxymethyltransferase, often upregulated in breast cancer, represent promising therapeutic targets. Understanding the interplay between amino acid metabolism and breast cancer biology, alongside the integration of personalized medicine approaches, can uncover novel insights into tumor progression and guide the development of precision therapies. This review explores the metabolic pathways of amino acids in breast cancer, with a focus on their implications for personalized treatment strategies.",2025.0,39973065.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Resistance to neoadjuvant chemotherapy in breast cancers: a metabolic perspective.,"Neoadjuvant chemotherapy (NAC) is a cornerstone in the treatment of early-stage high-risk breast cancers (BC), particularly in triple-negative, HER2-positive, and selected hormone receptor-positive subtypes. However, its effectiveness is frequently hindered by intrinsic or acquired resistance, resulting in a significant residual cancer burden (RCB) in more than half of patients. Despite extensive genomic profiling, reliable predictive biomarkers for treatment response remain limited, impeding the development of personalized therapeutic strategies. Emerging evidence highlights tumor metabolic reprogramming as a key non-genetic mechanism contributing to NAC resistance. In this review, we critically examine current advances in metabolic imaging and metabolomics as tools to predict NAC response in BC. We also discuss the role of the tumor microenvironment (TME), including hypoxia and acidosis, in shaping metabolic plasticity and fostering treatment resistance. Furthermore, we explore novel therapeutic strategies targeting metabolic pathways, ranging from enzyme inhibition to dietary interventions, and the use of advanced preclinical models. Together, these insights offer a metabolic framework for overcoming NAC resistance and advancing precision oncology in early-stage BC.",2025.0,40790759.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Harnessing pyroptosis in breast cancer therapy: immunological mechanisms and emerging biomaterial strategies.,"Breast cancer is a complex and predominant long-term medical condition in women. Its complexity is related to its diversity, variable clinical outcomes, and resistance to standard treatments, emphasizing the need for novel treatment strategies. Pyroptosis is a lytic and inflammatory programmed cell death regulated by the gasdermin protein family. It is a critical factor in cancer biology and plays distinct roles in tumor initiation, progression, and response to anticancer treatments. Pyroptosis, with its inflammatory properties, involves the formation of pores in the plasma membrane, resulting in cellular swelling, lysis, and the release of pro-inflammatory intracellular contents, thereby producing a robust immune response. Emerging studies suggest that pyroptosis plays a crucial role in breast cancer development, indicating its potential as a target for novel therapeutic strategies in breast cancer. Pyroptosis has the potential to directly kill malignant cells and elicit anti-cancer immunity. Therefore, targeting pyroptosis is a promising strategy for cancer therapy development. This review compiles recent advancements in the understanding of pyroptosis as a therapeutic target in breast cancer and discusses the molecular pathways responsible for regulating pyroptosis, the expression and roles of gasdermin proteins in breast cancer, and the modulation of pyroptosis to improve anticancer efficacy and address drug resistance.",2026.0,41820292.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
"Pharmacological Prevention in Breast Cancer: Current Evidence, Challenges, and Future Directions.","<b>Background/Objectives:</b> Pharmacological prevention is an evidence-based strategy to reduce the incidence of hormone receptor-positive breast cancer in high-risk women. Despite strong data from randomized trials, clinical uptake remains low. This review aims to summarize the efficacy, safety, and clinical implementation of pharmacoprevention and explore novel approaches to improve uptake. <b>Methods</b>: A comprehensive literature review was conducted on pharmacologic agents used for breast cancer risk reduction, including selective estrogen receptor modulators (SERMs) and aromatase inhibitors (AIs). The review also examines risk assessment models, guideline recommendations, barriers to implementation, and emerging strategies such as low-dose therapies and digital decision aids. <b>Results</b>: Tamoxifen, raloxifene, and AIs significantly reduce the incidence of estrogen receptor-positive breast cancer in high-risk populations. However, adverse effects and poor awareness limit their use. Personalized risk models and newer approaches, including low-dose tamoxifen, digital health tools, and emerging agents such as SERDs and GLP-1 receptor agonists, may improve acceptability and adherence. <b>Conclusions</b>: Pharmacoprevention offers substantial benefits in appropriately selected women. Future efforts should focus on new drugs, precision risk stratification, individualized decision-making, and overcoming barriers to implementation to maximize the impact of preventive strategies in breast cancer control.",2025.0,41300964.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Therapeutic innovations in triple negative breast cancer: integrating molecular targeting and monoclonal antibody strategies.,"Triple Negative Breast Cancer (TNBC) is a specific kind of breast cancer that is distinguished by the lack of expression of three specific receptors, namely human epidermal growth factor receptor 2 (HER2), estrogen receptor (ER), and progesterone receptor (PR) and are common in women under 40, especially among African American population or those with a BRCA1 genetic mutation. TNBC is characterized by its very aggressive behavior, elevated rates of recurrence, and restricted therapy alternatives in comparison to other subtypes of breast cancer. Chemotherapy is considered the most widely employed therapy against TNBC but experiences off-target toxicity due to its non-selectivity. Such a scenario led to the genetic profiling of the TNBC patients, which led to the identification of several targets and signaling pathways that can be considered as a therapeutic focus for the treatment of TNBC. In this review, we have compiled various therapeutic targets, including androgen receptor (AR) and PI3K/AKT/mTOR, Notch, Wnt/β-catenin, Hedgehog, and TGF-β signaling pathways, which are responsible for the progression of TNBC. In the current therapeutic landscape, the strategic targeting of key signaling pathways, coupled with the development of monoclonal antibody (mAb)-based immunotherapeutic interventions, has emerged as a promising and clinically relevant approach for the management of triple-negative breast cancer (TNBC). The mAbs reduce tumor development, modulate immune responses, and regulate the tumor microenvironment. This review summarizes their mechanisms, signaling pathway targets, clinical applications, and current therapeutic challenges.",2025.0,41069341.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Overcoming Therapeutic Resistance in Triple-Negative Breast Cancer: Targeting the Undrugged Kinome.,"Triple-Negative Breast Cancer (TNBC) remains the most aggressive breast cancer subtype, characterized by profound heterogeneity and a lack of effective targeted therapies. Although cytotoxic chemotherapy is the standard of care, the rapid emergence of resistance driven by cancer stem cells (CSCs), metabolic plasticity, and the tumor microenvironment limits long-term survival. This review highlights the paradigm shift in TNBC treatment from 2021 to 2025, moving beyond broad cytotoxicity to precision medicine. We first examine the limitations of earlier targeted therapies, such as PI3K/AKT/mTOR inhibitors, which failed due to compensatory feedback loops and toxicity. We then discuss emerging synthetic lethality strategies targeting the G2/M checkpoint (WEE1, ATR) and mitotic kinases (PLK1, TTK) to exploit genomic instability in TP53-mutant tumors. Furthermore, we explore how novel modalities like PROTACs and Antibody-Drug Conjugates (ADCs) are unlocking the ""undrugged kinome,"" including targets like TNIK, PTK7, and PAK4, which were previously inaccessible. Finally, we propose that future success lies in combinatorial strategies integrating these next-generation kinase inhibitors with ADCs and immunotherapies to dismantle therapeutic resistance.",2025.0,41516322.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
From PIK3CA Mutations to Rational PI3K Inhibition for the Treatment of Colorectal Cancer.,"Inhibitors of kinase PI3K have been in clinical development for several years but only two drugs, the alpha catalytic sub-unit specific inhibitor alpelisib and more recently inavolisib, also an inhibitor of the alpha catalytic sub-unit, have been approved for a cancer indication, in metastatic breast cancer. In colorectal cancer, despite a high prevalence of PIK3CA gene mutations, PI3K inhibitors have met with limited success, and development has mostly been halted or stagnated. Inherent resistance of colorectal cancer cells to PI3K inhibitors relate to the molecular alterations of this cancer, which include concomitant mutations and copy number alterations in other key players of the receptor tyrosine kinase pathways, including KRAS and BRAF. These have not been addressed adequately during clinical development of PI3K inhibitors. Most early trials examining PI3K inhibitors did not mandate for molecular alterations of PIK3CA as an inclusion criterion. These trials have sought to potentiate the action of other inhibitors of receptor tyrosine kinase pathways using PI3K inhibitors as a non-specific prevention against feedback resistance development. In addition, trials that included patients with PIK3CA-mutated cancers failed to consider mutations in other genes of the pathway, which may be related to primary or induced resistance. Other factors, such as the specific type of PIK3CA mutations arising in the catalytic domain, the helical domain, or other areas of the gene, which may affect the mutation functional repercussions and the inhibitor effectiveness, have not been fully taken into consideration. This review details the progress of PI3K inhibitors' development in colorectal cancer, addresses hurdles in development, and proposes areas for potential advancement.",2026.0,40965803.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Precision therapy in metastatic breast cancer: the current landscape of molecular alteration-based therapies.,"Breast cancer is the most commonly diagnosed cancer in women globally and remains the leading cause of cancer-related death among women. De novo metastatic breast cancer accounts for 5-10% of annual diagnoses, and approximately 30% of women with early-stage disease will eventually experience metastatic recurrence. Median survival varies by tumor subtype: 64-68 months for hormone receptor (HR)-positive/human epidermal growth factor receptor 2 (HER2)-negative cancers, 57-60 months for HER2-positive cancers, and around 13 months for triple-negative cancers. While current treatments-including chemotherapy, antibody-drug conjugates, endocrine therapy, HER2-targeted therapies, and immunotherapy-have significantly improved outcomes, resistance and disease progression remain ongoing challenges. Advances in next-generation sequencing (NGS) have enabled the identification of molecular alterations amenable to targeted therapy, underscoring the need for continued research into novel therapeutic targets. As more targeted agents become available and others are in development, staying informed about emerging targetable molecular alterations is increasingly essential. This review aims to summarize current data on targetable molecular alterations in metastatic breast cancer, focusing on available therapeutic options, key clinical trials, and practical insights for oncologists to support informed decision-making.",2025.0,40756958.0,PMC,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,-1,7.5
The Synergistic Effects of rhArg with Bcl-2 Inhibitors or Metformin Co-Treatment in Multiple Cancer Cell Models.,"<h4>Background</h4>Recombinant human arginase (rhArg) has been proven to exhibit an anticancer effect via arginine starvation. To further improve the efficacy of rhArg, we examined the feasibility of a combination strategy with Bcl-2 inhibitors (ABT263 and ABT199) or an antidiabetic drug (metformin) and investigated the mechanistic basis for these strategies.<h4>Methods</h4>The combination effects were evaluated in a panel of human cancer cell lines modeling pancreatic ductal carcinoma (PDAC), triple-negative breast cancer (TNBC), colorectal cancer (CRC) and glioblastoma (GBM). Western blot analysis was used to evaluate the expression of apoptotic and cell cycle markers. MTT assay was used to evaluate the combination efficacy. Flow cytometric assays were used to investigate the apoptotic and cell cycle effects.<h4>Results</h4>The combination of rhArg with sublethal doses of ABT263 significantly induced dose-dependent apoptosis, with elevated expression of apoptotic markers and a CI of 0.47 in U251. The combination inhibited CDK2 and cyclin A expression, indicating that the observed synergy also resulted from cell cycle arrest. We also found that rhArg + metformin was synergistic in a time-dependent manner. Compared to other amino acid depletion agents, rhArg + ABT263 was the most favorable combination pair.<h4>Conclusions</h4>The combination of rhArg and ABT263 enhanced apoptosis and cell cycle arrest, demonstrating a potential broad-spectrum antitumor strategy.",2026.0,41597239.0,PMC,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
AI-enhanced clinical trial-in-a-dish platform for improved DILI risk classification and mechanistic insights into hepatotoxicity.,"Drug-induced liver injury (DILI) remains a leading cause of clinical trial attrition and post-marketing drug withdrawals. Its prediction is hindered by the limited physiological relevance and interindividual variability captured in conventional preclinical models. To overcome this, we developed a human serum-derived educated spheroid system incorporating human blood sera from donors to generate liver spheroids that recapitulate human hepatic diversity. This platform enables clinical trial-in-a-dish studies and supports acute and chronic treatment regimens. Using a panel of drugs spanning the full DILI risk spectrum, we evaluated hepatotoxic potential through a proprietary AI-driven algorithm that integrates severity and incidence metrics at therapeutic concentrations. Our platform reliably distinguished low-risk from high-risk DILI compounds and recapitulated both dose-dependent and idiosyncratic toxicity profiles. Notably, ximelagatran-induced DILI was only detected under chronic exposure conditions, mirroring clinical outcomes. Transcriptomic profiling revealed innate immune activation in DILI-positive individuals. STRING analysis further implicated HLA-DRB1 and HLA-DQA1 interactions via <i>VIM</i> upregulation in macrophages and dendritic cells, suggesting a mechanistic link to immune-mediated iDILI. In exploratory prospective studies, our system predicted ribociclib-induced grade 3 DILI in one ER+/HER2- breast cancer patient and absence of DILI in two patients, consistent with clinical outcomes. These findings highlight the value of integrating our model with our AI-based mapping strategy to enable mechanistic classification of DILI, deconvolution of immune-related toxicity, and prediction of patient-specific risk. Our platform represents a step toward personalized hepatotoxicity assessment and improved translational toxicology strategies.",2026.0,41908553.0,PMC,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,-1,7.5
Glucose metabolic reprogramming: a novel strategy to enhance radiotherapy response to triple-negative breast cancer.,"Triple-negative breast cancer (TNBC) is an aggressive subtype of breast cancer characterized by poor prognosis and limited responsiveness to conventional therapies. Increasing evidence shows that the reprogramming of glucose metabolism is a hallmark of cancer cells, supporting their rapid proliferation, metastatic potential, and therapy resistance. This metabolic shift is particularly pronounced in TNBC, where reliance on glycolysis is greater than in other breast cancer subtypes. Consequently, strategies that target glucose metabolic pathways may offer a promising means to overcome treatment resistance and improve clinical outcomes. In this review, we summarize the unique features and regulatory mechanisms of glycolytic reprogramming in TNBC, with attention to tumor heterogeneity and its implications for disease progression and treatment response. We highlight recent preclinical studies that evaluate therapeutic approaches designed to exploit metabolic vulnerabilities, including glycolysis inhibition, metabolic enzyme targeting, and combination regimens with radiotherapy. Collectively, these findings suggest that interventions aimed at glycolytic pathways hold considerable potential to enhance radiosensitivity in TNBC. We discuss the translational prospects of this research, emphasizing the value of glycolysis-related genes as predictive biomarkers and as foundations for the development of novel targeted agents. While preliminary evidence is encouraging, further validation is required to establish the safety, efficacy, and clinical applicability of these strategies in human patients. Continued research in this area is expected to contribute to the development of more effective therapeutic options, ultimately improving the management and prognosis of TNBC.",2026.0,42094881.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
Targeting Mitochondrial Quality Control for the Treatment of Triple-Negative Breast Cancer: From Molecular Mechanisms to Precision Therapy.,"Breast cancer is the leading threat to the health of women, with a rising global incidence linked to social and psychological factors. Among its subtypes, triple-negative breast cancer (TNBC), which lacks <i>estrogen receptor (ER)</i>, <i>progesterone receptor (PR)</i>, and <i>human epidermal growth factor receptor 2 (HER2)</i> expression, is highly heterogeneous with early metastasis and a poor prognosis, making it the most challenging subtype. Mounting evidence shows that the mitochondrial quality control (MQC) system is vital for maintaining cellular homeostasis. Dysfunction of the MQC is tied to tumor cell invasiveness, metastasis, and chemoresistance. This paper comprehensively reviews the molecular link between MQC and TNBC development. We focused on how abnormal MQC affects TNBC progression by influencing chemoresistance, immune evasion, metastasis, and cancer stemness. On the basis of current studies, new TNBC treatment strategies targeting key MQC nodes have been proposed. These findings increase the understanding of TNBC pathogenesis and offer a theoretical basis for overcoming treatment challenges, providing new research angles and intervention targets for effective precision therapy for TNBC.",2025.0,40723842.0,PMC,Undetermined / Default,4.0,-1,4.0
Enhancing the Efficacy of Metformin in Neoadjuvant Therapy for Breast Cancer: A Meta-Analysis Based on Randomized Clinical Trials.,"IntroductionThis meta-analysis aims to evaluate the impact of increasing the use of metformin in neoadjuvant treatment for breast cancer (BC) on the rate of pathological complete response (pCR) in patients.MethodsA systematic search was conducted in four electronic databases: PubMed, Web of Science, Embase, and Cochrane Library. The search scope covered all the literature from the establishment of the databases to April 2025. The risk ratio (RR) and 95% confidence interval (CI) were calculated. The outcome indicator was the pCR rate.ResultThis meta-analysis included a total of 8 randomized controlled trials (RCTs), involving 474 patients. The results showed that there was no statistically significant difference in the pCR rate between the experimental group containing metformin and the control group (RR = 1.21, 95% CI: [0.85, 1.71], <i>P</i> = 0.28). Subgroup analysis revealed that there were no significant differences in the pCR rate between the two groups in patients with metabolic syndrome (RR = 2.09, 95% CI [0.55, 7.85], <i>P</i> = 0.28), patients without metabolic syndrome (RR = 1.12, 95% CI [0.81, 1.55], <i>P</i> = 0.49), patients from Eastern countries (RR = 1.15, 95% CI [0.63, 2.11], <i>P</i> = 0.65), and patients from Western countries (RR = 1.32, 95% CI [0.75, 2.32], <i>P</i> = 0.34).ConclusionThis study did not observe any effect of increasing the use of metformin on the pCR rate of patients in neoadjuvant treatment for BC.",2025.0,41161296.0,PMC,Systematic Review / Meta-Analysis,10.0,474,10.0
"Histone lysine demethylases in breast cancer: molecular mechanisms, biological functions, and therapeutic intervention.","Breast cancer is a highly heterogeneous disease characterized by diverse molecular subtypes and complex pathogenesis. Recent advances in epigenetics have unveiled the crucial roles of lysine demethylases (KDMs) in modulating gene expression and chromatin dynamics, thereby influencing breast cancer progression, including metastasis, and therapeutic resistance. KDMs, which remove methyl groups from histone lysine residues, are mainly categorized into seven subfamilies (KDM1-7) based on their catalytic mechanisms and substrate specificities. Meanwhile, each subfamily exhibits distinct roles in breast cancer, ranging from transcriptional regulation and chromatin remodeling to interactions with non-histone proteins. Notably, KDMs exhibit subtype-specific functions in breast cancer. KDMs are also implicated in various hallmarks of breast cancer, including DNA damage response, cell cycle regulation, stemness maintenance, metabolic reprogramming, and modulation of the tumor microenvironment. KDMs represent promising targets for overcoming therapeutic resistance in breast cancer. Inhibitors targeting KDMs have shown potential to enhance the efficacy of endocrine therapy, chemotherapy, and targeted therapy by modulating oncogenic signaling pathways. The KDM family members are intricately involved in the molecular pathogenesis of breast cancer, offering a rich landscape for therapeutic intervention. This review summarizes the multifaceted molecular mechanisms and biological functions of KDMs in breast cancer, highlighting their potential as therapeutic targets.",2025.0,41437062.0,PMC,Narrative Review / Editorial / Commentary,4.0,-1,4.0
